title,release_date,artists,album,popularity,genres,duration,explicit,track_id,artist_ids,energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,loudness,valence,mode,lyrics,tokens,descriptors
O Pana!,2016-09-11,$uicideboy$,Eternal Grey,0,"dark trap, new orleans rap, underground hip hop",128417,True,2I12vOWeJU5ayhr6ha6esf,['1VPmR4DJC1PlOtd0IADAO0'],0.505,0.198,114.972,0.115,0.0206,2.05e-05,4,0.8,0,-6.54,0.179,1,crush it up hit the blunt hit the blunt crush it up oxycontin some lortabs crush it up hit the blunt hit the blunt crush it up oxycontin some lortabs crush it up hit the blunt hit the blunt crush it up verse 1 yung now gimisum family  jgrxxn uh wake up with an ache that fades pop two pills with gatorade crush it up round my neck hang gator fangs might reveal more at a later date but i dont know hit the blunt yung now kind of go with the flow bring a ho backstage crush it up tell her tell me everything you know about life then i bounce roxy hittin hard feeling fuckin sick hit the blunt have to smoke a half an ounce just to balance it out ruby backin out ruby blackin out falling fuckin deeper i think ruby cashin out crush it up grass is always greener when the grave is lackin crowds look whos laughin now hit the blunt an audience crackin up you can let the curtains down now yeah crush it up i wallow in sorrow aint no tomorrow missed a call from lick i woke up in a gown how hit the blunt verse 2 lick loth gimisum family  jgrxxn i just bought ten roxies call up oddy then i crush it up chronic laced with somethin im like fuck it let me hit the blunt rolling down your block it aint shit for the set to crush it up told that bitch get out my ear she need to chill and hit the blunt xanax bars up in my drink before i pour em crush it up we never fuck with you fuckboy dont act like you can hit the blunt take that motherfuckin bat upside your skull and crush it up so full of them drugs i might throw up i knew i shouldnta hit the blunt outro jgrxxn  gimisum family oxycontin some lortabs crush it up hit the blunt hit the blunt cccccrush it oxycontin some lortabs crush it up,413,"Sensuality, Confidence, Intoxication, Infatuation, Playfulness, Romance, Self-assuredness, Spontaneity, Freedom"
Runnin' Thru The 7th With My Woadies,2015-09-01,"$uicideboy$, Pouya",$outh $ide $uicide,0,"dark trap, new orleans rap, underground hip hop, aesthetic rap, dark trap, emo rap, miami hip hop, underground hip hop",205766,True,70nmZhHZLNVYWP4NON41Zw,"['1VPmR4DJC1PlOtd0IADAO0', '4nXOZlYoAD67hF9aUEncMY']",0.62,0.139,112.027,0.281,0.067,0.000241,4,0.526,8,-7.244,0.187,0,when you come home ill stop this when you come home ill stop this verse 1 ruby da cherry view from a balcony pool lit up blue lawn chairs next to the ice chest stuffed two grams in the blunt that we just blew now im getting blown by a bitch who i dont know her name gold chain hanging got a few in the room but i dont wear them out only wear them in the house cause i shine so bright i dont wanna blind you who knew yung now wouldnt melt in the summer its true cold as a polar bear chilling with stunna and lick im surrounded by tulips got me bout two clips got me bout two scripts filled up with oxy smoke hovers all around my fucking body i murdered this bitch named oddy yeah i shot him lick got the shovels and we digging all night pouya in the caddy told him shine the light bright cause im digging in darkness what was a good day has turned into the usual back in all black like a funeral bridge marie therese when you come home ill stop this when you come home ill stop this verse 2 yung carecrow runnin from the cops through the motherfucking 7th six bodies dropped and nobody went to heaven block stay hot when im creeping with the weapon gotta keep the pills in me all because of my depression city of the crescent riding with a smith and wesson got a motherfucker guessing when i hit em with the blessing two shots to the dome six shots in the chrome all shot through your home now thats a crime zone uicide carecrow creepin with uzi lucifer please come save me throw crucifixes at my feet walking through the depths of hell watchin as the oceans swell grey59 thats los cartel nothing but death in every cell bridge marie therese when you come home ill stop this when you come home ill stop this verse 3 pouya yuh she too deep in the flask drinking and thinking gonna lead to a bad decision dj vu ive been through it with you multiple times on many occasions contemplating vacating without you i doubt you the one i could be wrong i could be sprung i could be dumb i could be dumbfounded wellrounded plus the head game therapeutic she knew when she blew it like nintendo you heard me some of yall better curve me my dick game army strong my only hope is my song go on for long this life aint promised whether you accomplished what you think about inside of yo apartment you working for nothing you worthless bitch yuh you might also likeoutro marie therese when you come home ill stop this when you come home ill stop this when you come home,529,"Desperation, Paranoia, Resentment, Self-Doubt, Anguish, Survival, Defiance, Nihilism, Emotional Turmoil"
ELEMENT.,2017-04-14,Kendrick Lamar,DAMN.,72,"conscious hip hop, hip hop, rap, west coast rap",208733,True,1EaKU4dMbesXXd3BrLCtYG,['2YZyLoL8N0Wb9xBt1NhZWg'],0.705,0.246,189.891,0.485,0.204,0.0,4,0.748,4,-4.547,0.483,0,kenny aint nobody prayin for me yall know what happens on earth stays on earth here we go i dont give a fuck i dont give a fuck i dont give a i dont give a i dont give a fuck verse 1 im willin to die for this shit i done cried for this shit might take a life for this shit put the bible down and go eye for an eye for this shit dot my enemy wont catch a vibe for this shit ayy i been stomped out in front of my mama my daddy commissary made it to commas bitch all my grandmas dead so aint nobody prayin for me im on your head ayy thirty millions later know the feds watchin auntie on my telegram like be cautious i be hangin out at tams i be on stockton i dont do it for the gram i do it for compton im willin to die for this shit nigga ill take your fuckin life for this shit nigga we aint goin back to broke family sellin dope thats why you maneyass rap niggas better know chorus if i gotta slap a pussyass nigga ima make it look sexy if i gotta go hard on a bitch ima make it look sexy i pull up hop out air out made it look sexy they wont take me out my element nah take me out my element verse 2 im allergic to a bitch nigga ayy an imaginary rich nigga ayy seven figures ho thats slimmer than my bitch figure ayy goin digital and physical on all yall ayy bunch of criminals and money in my phone calls ayy we okay we let the a1 fly relocate jump on the same g5 checkin for me heavy cause i go yeah i go yeah they never been ready yeah i know yeah know yeah 100k spread across the floor cross the floor yeah none of yall fuckin with the flow yeah the flow yeah years in the makin and dont yall mistake it i got em by a landslide we talkin about races you know thisll never be a tie just look at they laces you know careers take off just gotta be patient mr one through five thats the only logic fake my death go to cuba thats the only option see kendrick lamar liveget tickets as low as 146you might also likechorus if i gotta slap a pussyass nigga ima make it look sexy if i gotta go hard on a bitch ima make it look sexy i pull up hop out air out made it look sexy they wont take me out my element nah take me out my element bridge damned if i do if i dont yuh goddamn us all if you wont yuh damn damn damn its a goddamn shame you aint front in line get out the goddamn way verse 3 niggas thought they wasnt gonna see me huh niggas thought that kdot real life was the same life they see on tv huh niggas wanna flex on me and be in la for free huh next time they hit the 10 freeway we need a receipt huh cause most of yall aint real most of yall gon squeal most of yall just envy but jealousy get you killed most of yall throw rocks and try to hide your hand just say his name and i promise that youll see candyman because its all in your eyes most of yall tell lies most of yall dont fade most of yall been advised last lp i tried to lift the black artists but its a difference tween black artists and wack artists chorus kendrick lamar  kid capri if i gotta slap a pussyass nigga ima make it look sexy its the one and only the worlds greatest the kid capri if i gotta go hard on a bitch ima make it look sexy i pull up hop out air out made it look sexy they wont take,776,"Darkness, Rebellion, Death, Isolation, Misanthropy, Defiance, Horror, Occultism, Surrealism, Alienation"
Boredom (feat. Rex Orange County & Anna of the North),2017-07-21,"Tyler, The Creator, Rex Orange County, Anna of the North",Flower Boy,71,"hip hop, rap, bedroom pop, pop, electropop, indie poptimism, norwegian pop, vapor pop, vapor soul",320720,True,5WNYg3usc6H8N3MBEp4zVk,"['4V8LLVI7PbaPR0K2TGSxFF', '7pbDxGE6nQSZVfiFdq9lOL', '1mSJCvDX0W7Dn7S9C6vmvI']",0.578,0.324,79.938,0.151,0.79,0.000522,4,0.559,8,-9.54,0.239,1,youre having fun fun time flies time flies time flies when youre having fun time flies out the window it goes goes goes chorus rex orange county  anna of the north find some time find some time to do something find some time find some time to do something find some time find some time to do something ah bridge rex orange county  anna of the north boredom got a new best friend boredom boredom best friend cause boredom got a new best friend oh oh oh boredom got a new best friend nanana nanana ohnanana oh oh oh chorus rex orange county  anna of the north find some time find some time to do something find some time find some time oh verse 1 tyler the creator boredom boredom boredom boredom boredom boredom boredom boy my bedroom floor is a cereal burial im serious i ate em all dry boxes bodies yeah i caught em if were talkin bout real meals ask my stomach he aint saw em ive been in this fuckin room so long my eyeballs are turning to drywall my friends suck fuck em im over em hi yall yall aint hit me allday what the fuck is the problem is it me cause im not solved im bored chorus rex orange county  anna of the north find some time find some time to do something find some time find some time to do something find some time find some time to do something oh see tyler the creator liveget tickets as low as 30you might also likeverse 2 tyler the creator bored and getting desperate as hell desperate using texting amusing cellular not amusing and i hope someone will message me with some plans that are amusing as well cause i havent seen the exit of these walls since before this morning morning morning morning morning morning oh what the fuck got some cars i can handle but nowhere for performance my stomach angry and yellin i need some food i could order but i hate eating solo need someone we can loiter in parking lots as sunsets at the border yeah ringy dingy dong i cant be alone i been starting to feel like i dont know anyone so now im staring at my ceiling fuckin blowing like i have no idea where im going tick tock damn gotta get outta here chorus rex orange county anna of the north and tyler the creator find some time find some time to do something hey can yall help me right quick find some time find some time to do something find some time find some time to do something tick tock tititick tock oh bridge tyler the creator  anna of the north cause boredom got a new best friend tick tock boredom got a new best friend cause boredom got a new best friend tick tock outro rex orange county find some time find some time gotta find some time find some time gonna find some find some time gotta find some time find some time gonna find some find some time gotta find some time find some time gonna find some find some time time time time time time time time time time time time time time time time shane,600,"Violence, Aggression, Self-Destruction, Narcissism, Materialism, Recklessness, Power, Paranoia, Rebellion, Hedonism"
White Ferrari,2016-08-20,Frank Ocean,Blonde,77,"hip hop, lgbtq+ hip hop, neo soul",248807,False,2LMkwUfqC6S6s6qDVlEuzV,['2h93pZq0e7k5yf4dywlkpM'],0.0958,0.298,108.741,0.0433,0.77,0.0,4,0.501,0,-15.605,0.204,1,rides mind on the road your dilated eyes watch the clouds float white ferrari had a good time sweet sixteen how was i supposed to know anything i let you out at central i didnt care to state the plain kept my mouth closed were both so familiar white ferrari good times verse 2 stick by me close by me you were fine you were fine here thats just a slow body you left when i forgot to speak so i text the speech lesser speeds texas speed yes basic takes its toll on me ventually ventually yes ahh on me ventually ventually yes verse 3 i care for you still and i will forever that was my part of the deal honest we got so familiar spending each day of the year white ferrari good times in this life life in this life life one too many years some tattooed eyelids on a facelift thought you might want to know now mind over matter is magic i do magic if you think about it itll be over in no time and thats life love verse 4 im sure were taller in another dimension you say were small and not worth the mention youre tired of movin your bodys achin we could vacay theres places to go clearly this isnt all that there is cant take whats been given no way but were so okay here were doing fine primal and naked you dream of walls that hold us in prison its just a skull least thats what they,280,"Desperation, Longing, Obsession, Paranoia, Regret, Nihilism, Escapism, Dark Romance, Self-Destruction"
Yonkers,2011-05-09,"Tyler, The Creator",Goblin,0,"hip hop, rap",249333,True,1zsAAnB6dMpGOvXjoYP9Um,['4V8LLVI7PbaPR0K2TGSxFF'],0.759,0.217,79.103,0.334,0.016,0.0808,4,0.712,11,-5.397,0.738,1,im a fuckin walkin paradox no im not threesomes with a fuckin triceratops reptar rappin as im mockin deaf rock stars wearin synthetic wigs made of anwars dreadlocks bedrock harder than a motherfuckin flintstone making crack rocks outta pussy nigga fishbones haha this nigga jasper tryin to get grown about five seven of his bitches in my bedroom hey swallow the cinnamon ima scribble this sin and shit while syd is tellin me that shes been getting intimate with men syd shut the fuck up heres the number to my therapist shit you tell him all your problems hes fuckin awesome with listenin haha chorus uh wolf haley uh golf wang uh wolf haley golf fuckin wang verse 2 jesus called he said hes sick of the disses i told him to quit bitchin this isnt a fuckin hotline for a fuckin shrink sheesh i already got mine and hes not fuckin workin i think im wastin my damn time im clockin three past six and goin postal this the revenge of the dicks thats nine cocks that cock 9s this aint no v tech shit or columbine but after bowling i went home for some damn adventure time whatd you do i slipped myself some pink xannies yeah and danced around the house in allover print panties my moms gone that fuckin broad will never understand me im not gay i just wanna boogie to some marvin what you think of hayley williams fuck her wolf haley robbin them ill crash that fuckin airplane that that faggot nigga bob is in and stab bruno mars in his goddamn esophagus and wont stop until the cops come in im an overachiever so how about i start a team of leaders and pick up stevie wonder to be the wide receiver cool green paper gold teeth and pregnant golden retrievers all i want fuck money diamonds and bitches dont need em but where the fat ones at i got somethin to feed em its some cooking books the black kids never wanted to read em snap back green chchchia fuckin leaves its been a couple months and tina still aint perm her fuckin weave damn see tyler the creator liveget tickets as low as 30you might also likechorus uh wolf haley uh golf wang uh wolf haley golf wang yeah goddamn goblin wolf haley uh golf wang uh wolf haley golf wang yeah verse 3 they say success is the best revenge so i beat deshay up with the stack of magazines im in oh not again another critic writing report im stabbin any bloggin faggot hipster with a pitchfork still suicidal i am im wolf tyler put this fuckin knife in my hand im wolf ace gon put that fuckin hole in my head and im wolf that was me who shoved a cock in your bitch what the fuck man fuck the fame and all the hype g i just wanna know if my father would ever like me but i dont give a fuck so hes probably just like me a motherfuckin goblin fuck everything man thats what my conscience said then it bunnyhopped off my shoulder now my conscience dead now the only guidance that i had is splattered on cement actions,661,"Rebellion, Aggression, Braggadocio, Irony, Social Commentary, Defiance, Provocation, Confidence, Authenticity"
HDMI,2014-12-02,BONES,Rotten,0,"dark trap, underground hip hop",139374,True,2JUs4EVimq0ShpPeIgeokl,['5v2WhpA59TJSdPh7LCx1lN'],0.298,0.304,124.863,0.0578,0.698,0.772,4,0.708,7,-16.427,0.118,1,than a motherfucker bitch please stop the playing seshollowaterboyz deaf to them other boys we cant hear a word you saying we dont know your name cant hang with the gang crowd jumping when the bass get banging all i need is dope so i gotta get paid never see me on the stage unless the money is arranged my hair 1080 my teeth 240 my blunts 4k and my dope you couldnt load it if they aint calling with a price we dont answer that tryna fuck around bitch we gon handle that chorus if they aint calling with a price we dont answer that tryna fuck around bitch we gon handle that we gon handle that bitch we gon handle that tryna fuck around bitch we gon handle that if they aint calling with a price we dont answer that tryna fuck around bitch we gon handle that we gon handle that bitch we gon handle that tryna fuck around bitch we gon handle that verse 2 bitch im smoking sacrificial back to back blink you might miss it boy my team made up of legends and my ring made out of crystal they ask me how i been living since these labels out to get me but the only reason they want to meet me is just to say they fucking met me bridge i got money on the table but i aint count it yet i aint count it yet i aint i aint count it yet money on the table but i aint count it yet i aint count it yet i aint,299,"Alienation, Disillusionment, Drug-induced haze, Existential crisis, Emotional detachment, Nihilism, Escapism, Melancholy"
Oxygen,2017-06-16,BONES,NoRedeemingQualities,0,"dark trap, underground hip hop",142000,True,3MAfAtD9lKvugbWzaz21LS,['5v2WhpA59TJSdPh7LCx1lN'],0.514,0.115,120.011,0.0449,0.0336,0.000164,4,0.694,1,-11.063,0.136,0,casket pop lock and drop ya like huey done asked me mud on my corpse if you crazy im batshit bones is the one the game hate with a passion when did it start i think i know the second i chose to come out of my tomb everyone gather and hold hands and let out a big fuck you bones on two one two coming through your crew look like to wong foo give a fuck about your loot motherfucker gimme truth and if you all out of the latter ima have to take the first try to bop me for my spot hold up someone get this boy a hearse verse 2 im taking the long way home tonight i just need some space i dont wanna live today ran into the crow of the afterlife he opened up his beak whispered bones please come with me deadboy what big eyes you have the better to see you with hands of the witch cursed with one grip i will rise from the fire finna blow away with the breeze reporting live from,198,"Gang culture, Defiance, Street life, Violence, Braggadocio, Survival, Paranoia, Loyalty, Distrust"
Dirt,2013-08-08,BONES,SCUMBAG,0,"dark trap, underground hip hop",140187,True,1LpFxoC3TDeUSjU2qp3Iu1,['5v2WhpA59TJSdPh7LCx1lN'],0.721,0.11,136.07,0.0751,0.354,0.000645,4,0.852,3,-7.4,0.803,0,them guns but ive never seen you bang bang you say youve got them drugs but ive never seen you slang slang you say you in the game but ive yet to see you play play you say youre going hard but nobody feels the same no you say you got them guns but ive never seen you bang bang you say youve got them drugs but ive never seen you slang slang you say you in the game but ive yet to see you play play you say youre going hard but nobody feels the same verse im swerving off my eyes closed graveyards where i call home razor blade on my fuckin bones touch me and ima cut you off raindrops on my white skin turn ghost and im in my zone what hair long my blunts short always smoke so we rollin more coming down coming down see me but dont hear a sound ridin round ridin round cemetery blunts in the background loud now now burn it all to the ground to the ground ground bones back in town i aint got no fucking chain i aint got no diamond ring young justin timberlake all these bitches know my name if you see me out in public then you know i got the blade if you see me on the stage what you know i got the blade sesh hundred pills in my pocket but that shit is not for me no i feed em to my girl and watch her drop down to her knees what ghosts in my head i got ash on my jeans these women tryna scheme cause i look like dawsons creek what you might also likechorus you say youve got them guns but ive never seen you bang bang you say youve got them drugs but ive never seen you slang slang you say you in the game but ive yet to see you play play you say youre going hard but nobody feels the same no you say you got them guns but ive never seen you bang bang you say youve got them drugs but ive never seen you slang slang you say you in the game but ive yet to see you play play you say youre going hard but nobody feels the same yeah outro what what,416,"Despair, Addiction, Self-Destruction, Isolation, Betrayal, Mental Illness, Death, Anguish, Confusion, Desperation."
Corduroy,2014-06-08,BONES,Garbage,0,"dark trap, underground hip hop",143333,True,2QJQMsfeQOUeRkktBPFuhy,['5v2WhpA59TJSdPh7LCx1lN'],0.561,0.0976,112.971,0.0641,0.293,0.00168,4,0.881,8,-8.907,0.191,0,from the place where the hatred was made ima make you dark like its late in the day no matter what i think you gonna hate what i say earnhardt blunts smoking like we in a race friends turn cold like the blood in my veins thoughts in my mind like the dirt in my graves so i press my head to the wall till it breaks chorus take you back home where the moon dont glow where the sun dont shine where the kids dont grow uptown where the youth get drowned in the rag full of ether cause the kids dont know suicide rate up high when the winter rolls in and the money still low and when he feels that snow he knows its the only way to get out the cold verse 2 get out the cold get out the cold lifes too tough bitch please let me know i take your life and turn it to gold roll my dope and turn to a ghost who you really think going harder than me bitch im dead bitch bitch im dead bitch i dont even breathe said who you really think going harder than me bitch im dead bitch bitch im dead bitch i dont even breathe verse 3 sesh feelin something like rick moranis blew up the kid now he doin damage you oughta know like my names alanis hate on me take a seat young christopher hansen i dont sweat all day just to lie in a mansion break blunts like glass when you get the banshee r2 r2 l1 r2 up down left right then i get to bangin chorus take you back home where the moon dont glow where the sun dont shine where the kids dont grow uptown where the youth get drowned in the rag full of ether cause the kids dont know suicide rate up high when the winter rolls in and the money still low and when he feels that snow he knows its the,360,"Arrogance, Materialism, Hedonism, Defiance, Fame-seeking, Intimidation, Exclusivity, Mistrust, Ambition"
