genre,font_size,color,colors_rgb,top,left
pop,160%,#ad8807,"rgb(173, 136, 7)",4850px,787px
rap,144%,#a88903,"rgb(168, 137, 3)",5759px,1070px
rock,141%,#ab711a,"rgb(171, 113, 26)",11449px,564px
urbano latino,134%,#bd9002,"rgb(189, 144, 2)",3341px,1170px
hip hop,134%,#ad7e09,"rgb(173, 126, 9)",6978px,1085px
trap latino,132%,#bc9101,"rgb(188, 145, 1)",3571px,1184px
dance pop,130%,#b7840a,"rgb(183, 132, 10)",3415px,883px
reggaeton,129%,#c18e02,"rgb(193, 142, 2)",3005px,1170px
modern rock,127%,#bc7813,"rgb(188, 120, 19)",5716px,468px
latin pop,126%,#ad8a03,"rgb(173, 138, 3)",6427px,820px
musica mexicana,125%,#988f04,"rgb(152, 143, 4)",12834px,989px
classic rock,125%,#9a7917,"rgb(154, 121, 23)",13039px,647px
pov: indie,124%,#9c8617,"rgb(156, 134, 23)",7873px,628px
trap,124%,#a38f02,"rgb(163, 143, 2)",5456px,1061px
permanent wave,124%,#ab7820,"rgb(171, 120, 32)",8708px,487px
alternative metal,124%,#d65c24,"rgb(214, 92, 36)",6709px,305px
corrido,123%,#a38b01,"rgb(163, 139, 1)",13066px,1059px
k-pop,123%,#ba8313,"rgb(186, 131, 19)",5166px,777px
r&b,123%,#9a8b06,"rgb(154, 139, 6)",6072px,922px
filmi,123%,#89871a,"rgb(137, 135, 26)",14875px,771px
nueva musica mexicana,123%,#9b9101,"rgb(155, 145, 1)",12987px,983px
norteno,123%,#978e04,"rgb(151, 142, 4)",12004px,1019px
edm,122%,#ca8040,"rgb(202, 128, 64)",2581px,768px
pop rap,122%,#b18403,"rgb(177, 132, 3)",5276px,1044px
contemporary country,122%,#a58801,"rgb(165, 136, 1)",6660px,557px
album rock,122%,#ae7119,"rgb(174, 113, 25)",10770px,489px
soft rock,122%,#98800f,"rgb(152, 128, 15)",10233px,625px
pop dance,121%,#ca803a,"rgb(202, 128, 58)",2595px,773px
hard rock,121%,#c26320,"rgb(194, 99, 32)",9884px,371px
canadian pop,121%,#978a05,"rgb(151, 138, 5)",9206px,640px
sierreno,121%,#9e8d01,"rgb(158, 141, 1)",13192px,1035px
sad sierreno,120%,#9a9101,"rgb(154, 145, 1)",13015px,1006px
uk pop,120%,#999105,"rgb(153, 145, 5)",7972px,759px
mellow gold,119%,#8e820e,"rgb(142, 130, 14)",13000px,619px
nu metal,119%,#da5825,"rgb(218, 88, 37)",6302px,307px
desi pop,119%,#b38705,"rgb(179, 135, 5)",7081px,906px
country,119%,#7d8c09,"rgb(125, 140, 9)",12463px,730px
melodic rap,119%,#969c02,"rgb(150, 156, 2)",4589px,1074px
post-grunge,118%,#cc6c0f,"rgb(204, 108, 15)",4920px,367px
banda,118%,#998d07,"rgb(153, 141, 7)",11091px,1006px
modern bollywood,118%,#a68307,"rgb(166, 131, 7)",8437px,787px
alternative rock,118%,#b86c36,"rgb(184, 108, 54)",9635px,403px
sertanejo universitario,118%,#be8401,"rgb(190, 132, 1)",8685px,835px
art pop,117%,#8d8b3c,"rgb(141, 139, 60)",9143px,582px
singer-songwriter,117%,#7a8913,"rgb(122, 137, 19)",14245px,671px
atl hip hop,117%,#a28e04,"rgb(162, 142, 4)",4291px,1063px
country road,117%,#9e8903,"rgb(158, 137, 3)",7121px,569px
colombian pop,117%,#b48d01,"rgb(180, 141, 1)",4461px,1004px
corridos tumbados,116%,#a18f01,"rgb(161, 143, 1)",12850px,1004px
alt z,116%,#899504,"rgb(137, 149, 4)",8403px,844px
urban contemporary,116%,#9e8707,"rgb(158, 135, 7)",5508px,940px
reggaeton colombiano,116%,#b99201,"rgb(185, 146, 1)",3530px,1156px
french hip hop,116%,#ae8905,"rgb(174, 137, 5)",10613px,1074px
arrocha,116%,#bc8d00,"rgb(188, 141, 0)",8339px,966px
pop urbaine,115%,#ab9003,"rgb(171, 144, 3)",9023px,1090px
southern hip hop,115%,#a98902,"rgb(169, 137, 2)",5340px,1055px
mexican pop,115%,#b18804,"rgb(177, 136, 4)",5316px,793px
indietronica,115%,#a78748,"rgb(167, 135, 72)",5137px,668px
new wave pop,115%,#aa7d14,"rgb(170, 125, 20)",5395px,714px
