genre,color,font_size,left,top
pop,"rgb(173, 136, 7)",160%,787px,4850px
rap,"rgb(168, 137, 3)",144%,1070px,5759px
rock,"rgb(171, 113, 26)",141%,564px,11449px
urbano latino,"rgb(189, 144, 2)",134%,1170px,3341px
hip hop,"rgb(173, 126, 9)",134%,1085px,6978px
trap latino,"rgb(188, 145, 1)",132%,1184px,3571px
dance pop,"rgb(183, 132, 10)",130%,883px,3415px
reggaeton,"rgb(193, 142, 2)",129%,1170px,3005px
modern rock,"rgb(188, 120, 19)",127%,468px,5716px
latin pop,"rgb(173, 138, 3)",126%,820px,6427px
musica mexicana,"rgb(152, 143, 4)",125%,989px,12834px
classic rock,"rgb(154, 121, 23)",125%,647px,13039px
pov: indie,"rgb(156, 134, 23)",124%,628px,7873px
trap,"rgb(163, 143, 2)",124%,1061px,5456px
permanent wave,"rgb(171, 120, 32)",124%,487px,8708px
alternative metal,"rgb(214, 92, 36)",124%,305px,6709px
corrido,"rgb(163, 139, 1)",123%,1059px,13066px
k-pop,"rgb(186, 131, 19)",123%,777px,5166px
r&b,"rgb(154, 139, 6)",123%,922px,6072px
filmi,"rgb(137, 135, 26)",123%,771px,14875px
nueva musica mexicana,"rgb(155, 145, 1)",123%,983px,12987px
norteno,"rgb(151, 142, 4)",123%,1019px,12004px
edm,"rgb(202, 128, 64)",122%,768px,2581px
pop rap,"rgb(177, 132, 3)",122%,1044px,5276px
contemporary country,"rgb(165, 136, 1)",122%,557px,6660px
album rock,"rgb(174, 113, 25)",122%,489px,10770px
soft rock,"rgb(152, 128, 15)",122%,625px,10233px
pop dance,"rgb(202, 128, 58)",121%,773px,2595px
hard rock,"rgb(194, 99, 32)",121%,371px,9884px
canadian pop,"rgb(151, 138, 5)",121%,640px,9206px
sierreno,"rgb(158, 141, 1)",121%,1035px,13192px
sad sierreno,"rgb(154, 145, 1)",120%,1006px,13015px
uk pop,"rgb(153, 145, 5)",120%,759px,7972px
mellow gold,"rgb(142, 130, 14)",119%,619px,13000px
nu metal,"rgb(218, 88, 37)",119%,307px,6302px
desi pop,"rgb(179, 135, 5)",119%,906px,7081px
country,"rgb(125, 140, 9)",119%,730px,12463px
melodic rap,"rgb(150, 156, 2)",119%,1074px,4589px
post-grunge,"rgb(204, 108, 15)",118%,367px,4920px
banda,"rgb(153, 141, 7)",118%,1006px,11091px
modern bollywood,"rgb(166, 131, 7)",118%,787px,8437px
alternative rock,"rgb(184, 108, 54)",118%,403px,9635px
sertanejo universitario,"rgb(190, 132, 1)",118%,835px,8685px
art pop,"rgb(141, 139, 60)",117%,582px,9143px
singer-songwriter,"rgb(122, 137, 19)",117%,671px,14245px
atl hip hop,"rgb(162, 142, 4)",117%,1063px,4291px
country road,"rgb(158, 137, 3)",117%,569px,7121px
colombian pop,"rgb(180, 141, 1)",117%,1004px,4461px
corridos tumbados,"rgb(161, 143, 1)",116%,1004px,12850px
alt z,"rgb(137, 149, 4)",116%,844px,8403px
urban contemporary,"rgb(158, 135, 7)",116%,940px,5508px
reggaeton colombiano,"rgb(185, 146, 1)",116%,1156px,3530px
french hip hop,"rgb(174, 137, 5)",116%,1074px,10613px
arrocha,"rgb(188, 141, 0)",116%,966px,8339px
pop urbaine,"rgb(171, 144, 3)",115%,1090px,9023px
southern hip hop,"rgb(169, 137, 2)",115%,1055px,5340px
mexican pop,"rgb(177, 136, 4)",115%,793px,5316px
indietronica,"rgb(167, 135, 72)",115%,668px,5137px
new wave pop,"rgb(170, 125, 20)",115%,714px,5395px
k-pop girl group,"rgb(203, 129, 23)",115%,890px,2979px
latin alternative,"rgb(177, 130, 18)",115%,768px,5849px
pop punk,"rgb(211, 104, 8)",115%,321px,4563px
sertanejo,"rgb(179, 135, 0)",115%,811px,9549px
gangster rap,"rgb(176, 124, 4)",115%,1107px,6145px
j-pop,"rgb(188, 123, 22)",115%,513px,5150px
rock en espanol,"rgb(182, 128, 13)",115%,737px,5108px
german hip hop,"rgb(167, 141, 18)",115%,1064px,9350px
ranchera,"rgb(117, 150, 7)",115%,829px,13988px
tropical house,"rgb(191, 136, 36)",115%,871px,2575px
k-pop boy group,"rgb(199, 123, 17)",114%,737px,3960px
soul,"rgb(105, 135, 22)",114%,833px,16194px
electro house,"rgb(208, 124, 79)",114%,833px,2138px
neo mellow,"rgb(145, 142, 6)",114%,569px,9822px
heartland rock,"rgb(161, 122, 16)",114%,541px,11722px
italian pop,"rgb(173, 136, 7)",114%,798px,6747px
latin hip hop,"rgb(197, 134, 3)",114%,1157px,3140px
chicago rap,"rgb(165, 140, 9)",114%,1012px,6434px
latin arena pop,"rgb(175, 136, 3)",114%,681px,6309px
canadian contemporary r&b,"rgb(132, 151, 27)",114%,798px,9822px
agronejo,"rgb(198, 132, 0)",113%,844px,8389px
latin rock,"rgb(177, 130, 17)",113%,698px,5366px
electropop,"rgb(155, 143, 26)",113%,809px,5670px
canadian hip hop,"rgb(156, 143, 6)",113%,1031px,8327px
uk dance,"rgb(200, 131, 49)",113%,950px,2124px
rap metal,"rgb(217, 93, 25)",113%,438px,5567px
conscious hip hop,"rgb(176, 120, 12)",113%,1042px,9886px
new wave,"rgb(184, 116, 34)",113%,610px,4879px
toronto rap,"rgb(153, 148, 3)",113%,1063px,6754px
pop rock,"rgb(175, 129, 7)",113%,478px,6748px
house,"rgb(203, 128, 110)",113%,1109px,1333px
modern alternative rock,"rgb(190, 119, 20)",113%,440px,5137px
indonesian pop,"rgb(142, 145, 13)",113%,610px,9080px
indie rock,"rgb(160, 130, 58)",113%,463px,9936px
folk rock,"rgb(127, 134, 14)",112%,647px,14433px
bedroom pop,"rgb(128, 148, 38)",112%,719px,9599px
new romantic,"rgb(179, 121, 29)",112%,687px,4506px
metal,"rgb(220, 78, 61)",112%,214px,8869px
indie pop,"rgb(130, 146, 32)",112%,553px,11101px
east coast hip hop,"rgb(180, 113, 14)",112%,1112px,7961px
italian hip hop,"rgb(179, 137, 7)",112%,971px,8099px
afrobeats,"rgb(185, 135, 6)",112%,1066px,8449px
post-teen pop,"rgb(177, 133, 4)",112%,712px,4620px
west coast rap,"rgb(173, 122, 7)",112%,1159px,5404px
turkish pop,"rgb(161, 136, 17)",111%,744px,7416px
trap argentino,"rgb(154, 151, 7)",111%,1099px,6297px
slap house,"rgb(203, 130, 53)",111%,867px,2281px
boy band,"rgb(172, 131, 3)",111%,719px,3571px
spanish pop,"rgb(181, 132, 5)",111%,756px,6577px
cloud rap,"rgb(124, 147, 41)",111%,865px,8712px
miami hip hop,"rgb(174, 135, 6)",111%,1068px,4265px
neo soul,"rgb(126, 139, 14)",111%,782px,12512px
glam metal,"rgb(203, 97, 23)",111%,319px,8341px
hoerspiel,"rgb(99, 101, 0)",111%,1315px,15698px
modern country pop,"rgb(156, 143, 0)",111%,534px,7603px
punjabi pop,"rgb(191, 131, 5)",111%,1004px,8125px
stomp and holler,"rgb(131, 143, 29)",111%,525px,12973px
progressive house,"rgb(207, 125, 111)",111%,717px,2038px
glam rock,"rgb(172, 113, 26)",111%,529px,10732px
rage rap,"rgb(151, 159, 4)",111%,969px,4333px
viral pop,"rgb(129, 150, 7)",111%,759px,10490px
underground hip hop,"rgb(160, 137, 17)",111%,989px,8560px
country rock,"rgb(135, 130, 20)",111%,681px,13751px
progressive electro house,"rgb(209, 124, 92)",111%,850px,1933px
puerto rican pop,"rgb(179, 136, 5)",111%,930px,6233px
alternative r&b,"rgb(147, 141, 15)",111%,967px,10319px
dark trap,"rgb(165, 142, 21)",111%,977px,4252px
piano rock,"rgb(154, 129, 12)",111%,587px,12376px
talent show,"rgb(179, 130, 6)",111%,692px,4391px
swedish pop,"rgb(165, 136, 9)",111%,678px,6526px
rap francais,"rgb(164, 146, 2)",111%,1101px,9038px
synthpop,"rgb(181, 121, 36)",111%,709px,3673px
nigerian pop,"rgb(182, 136, 7)",110%,1066px,9009px
desi hip hop,"rgb(174, 138, 15)",110%,1057px,6107px
argentine rock,"rgb(171, 125, 21)",110%,616px,8812px
tropical,"rgb(177, 136, 5)",110%,1064px,12675px
punk,"rgb(216, 83, 31)",110%,346px,8943px
ccm,"rgb(158, 138, 13)",110%,344px,6861px
big room,"rgb(210, 124, 78)",110%,766px,2208px
grupera,"rgb(154, 144, 5)",110%,922px,9649px
psychedelic rock,"rgb(148, 120, 35)",110%,587px,13725px
garage rock,"rgb(196, 103, 46)",110%,395px,8969px
opm,"rgb(122, 150, 17)",110%,564px,11969px
detroit hip hop,"rgb(167, 133, 11)",110%,1050px,9250px
italian adult pop,"rgb(143, 139, 7)",110%,622px,12165px
sped up,"rgb(148, 147, 58)",110%,856px,5745px
