title,release_date,artists,album,popularity,genres,duration,explicit,track_id,artist_ids,energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,loudness,valence,mode,lyrics
O Pana!,2016-09-11,$uicideboy$,Eternal Grey,0,"dark trap, new orleans rap, underground hip hop",128417,True,2I12vOWeJU5ayhr6ha6esf,['1VPmR4DJC1PlOtd0IADAO0'],0.505,0.198,114.972,0.115,0.0206,2.05e-05,4,0.8,0,-6.54,0.179,1,"TranslationsРусскийTürkçeO Pana! Lyrics[Intro: JGRXXN & Gimisum Family]
OxyContin, some Lortabs, crush it up
Hit the blunt, hit the blunt, crush it up
OxyContin, some Lortabs, crush it up
Hit the blunt, hit the blunt, crush it up
OxyContin, some Lortabs, crush it up
Hit the blunt, hit the blunt, crush it up

[Verse 1: Yung $now, Gimisum Family & JGRXXN]
Uh
Wake up with an ache that fades, pop two pills with Gatorade (Crush it up)
'Round my neck hang gator fangs
Might reveal more at a later date, but I don't know (Hit the blunt)
Yung $now kind of go with the flow, bring a ho' backstage (Crush it up)
Tell her, ""Tell me everything you know about life,"" then I bounce
Roxy hittin' hard, feeling fuckin' sick (Hit the blunt)
Have to smoke a half an ounce just to balance it out
Ruby backin' out, Ruby blackin' out
Falling fuckin' deeper, I think Ruby cashin' out (Crush it up)
Grass is always greener when the grave is lackin' crowds
Look who's laughin' now (Hit the blunt)
An audience crackin' up, you can let the curtains down now, yeah (Crush it up)
I wallow in sorrow, ain't no tomorrow
Missed a call from $lick, I woke up in a gown, how? (Hit the blunt)
[Verse 2: $lick $loth, Gimisum Family & JGRXXN]
I just bought ten Roxies, call up Oddy, then I— (Crush it up)
Chronic laced with somethin', I'm like ""Fuck it,"" let me— (Hit the blunt)
Rolling down your block, it ain't shit for the set to— (Crush it up)
Told that bitch, ""Get out my ear,"" she need to chill and— (Hit the blunt)
Xanax bars up in my drink, before I pour 'em— (Crush it up)
We never fuck with you, fuckboy, don't act like you can— (Hit the blunt)
Take that motherfuckin' bat upside your skull and— (Crush it Up)
So full of them drugs, I might throw up, I knew I shouldn'ta— (Hit the blunt)

[Outro: JGRXXN & Gimisum Family]
OxyContin, some Lortabs, crush it up
Hit the blunt, hit the blunt
C-C-C-C-Crush it
OxyContin, some Lortabs, crush it up
Hit the blunt, hit the blunt
C-C-C—You might also like83Embed"
Runnin' Thru The 7th With My Woadies,2015-09-01,"$uicideboy$, Pouya",$outh $ide $uicide,0,"dark trap, new orleans rap, underground hip hop, aesthetic rap, dark trap, emo rap, miami hip hop, underground hip hop",205766,True,70nmZhHZLNVYWP4NON41Zw,"['1VPmR4DJC1PlOtd0IADAO0', '4nXOZlYoAD67hF9aUEncMY']",0.62,0.139,112.027,0.281,0.067,0.000241,4,0.526,8,-7.244,0.187,0,"TranslationsFrançaisRunnin’ Thru the 7th with My Woadies Lyrics[Intro: Marie Therese]
When you come home, I'll stop this
When you come home, I'll stop this

[Verse 1: Ruby da Cherry]
View from a balcony, pool lit up blue
Lawn chairs next to the ice chest
Stuffed two grams in the blunt that we just blew
Now I'm getting blown by a bitch
Who? I don't know her name
Gold chain hanging, got a few in the room
But I don't wear them out, only wear them in the house
'Cause I shine so bright, I don't wanna blind you
Who knew Yung $now wouldn't melt in the summer? It's true
Cold as a polar bear
Chilling with Stunna and $lick, I'm surrounded by tulips
Got me 'bout two clips
Got me 'bout two scripts filled up with Oxy
Smoke hovers all around my fucking body
I murdered this bitch named Oddy, yeah, I shot him
$lick got the shovels, and we digging all night
Pouya in the Caddy
Told him, ""shine the light bright"" 'cause I'm digging in darkness
What was a good day has turned into the usual
Back in all black like a funeral
[Bridge: Marie Therese]
When you come home, I'll stop this
When you come home, I'll stop this

[Verse 2: Yung $carecrow]
Runnin' from the cops through the motherfucking 7th
Six bodies dropped, and nobody went to heaven
Block stay hot when I'm creeping with the weapon
Gotta keep the pills in me all because of my depression
City of the crescent, riding with a Smith and Wesson
Got a motherfucker guessing when I hit 'em with the blessing
Two shots to the dome, six shots in the chrome
All shot through your home, now that's a crime zone
$-U-I-C-I-D-E, $carecrow creepin' with Uzi
Lucifer, please come save me, throw crucifixes at my feet
Walking through the depths of hell, watchin' as the oceans swell
Grey*59, that's Los Cartel
Nothing but death in every cell

[Bridge: Marie Therese]
When you come home, I'll stop this
When you come home, I'll stop this

[Verse 3: Pouya]
Yuh, she too deep in the flask
Drinking and thinking gonna lead to a bad decision
Déjà vu, I've been through it with you
Multiple times on many occasions
Contemplating vacating without you, I doubt you the one
I could be wrong; I could be sprung; I could be dumb
I could be dumbfounded, well-rounded
Plus the head game therapeutic
She knew when she blew it like Nintendo, you heard me
Some of y'all better curve me, my dick game army strong
My only hope is my song go on for long
This life ain't promised whether you accomplished
What you think about inside of yo' apartment
You working for nothing, you worthless, bitch
Yuh
You might also like[Outro: Marie Therese]
When you come home, I'll stop this
When you come home, I'll stop this
When you come home, I'll stop this
When you come home, I'll stop this113Embed"
ELEMENT.,2017-04-14,Kendrick Lamar,DAMN.,72,"conscious hip hop, hip hop, rap, west coast rap",208733,True,1EaKU4dMbesXXd3BrLCtYG,['2YZyLoL8N0Wb9xBt1NhZWg'],0.705,0.246,189.891,0.485,0.204,0.0,4,0.748,4,-4.547,0.483,0,"TranslationsTürkçeEspañolFrançaisPortuguêsELEMENT. Lyrics[Intro: Kid Capri & Kendrick Lamar]
New Kung Fu Kenny
Ain't nobody prayin' for me
Y'all know, what happens on Earth stays on Earth
Here we go!
I don't give a fuck, I don't give a fuck
I don't give a, I don't give a, I don't give a fuck

[Verse 1]
I'm willin' to die for this shit
I done cried for this shit, might take a life for this shit
Put the Bible down and go eye for an eye for this shit
D-O-T my enemy, won't catch a vibe for this shit, ayy
I been stomped out in front of my mama
My daddy commissary made it to commas
Bitch, all my grandmas dead
So ain't nobody prayin' for me, I'm on your head, ayy
Thirty millions later, know the feds watchin'
Auntie on my Telegram like, ""Be cautious!""
I be hangin' out at Tam's, I be on Stockton
I don't do it for the 'Gram, I do it for Compton
I'm willin' to die for this shit, nigga
I'll take your fuckin' life for this shit, nigga
We ain't goin' back to broke, family sellin' dope
That's why you maney-ass rap niggas better know
[Chorus]
If I gotta slap a pussy-ass nigga, I'ma make it look sexy
If I gotta go hard on a bitch, I'ma make it look sexy
I pull up, hop out, air out, made it look sexy
They won't take me out my element
Nah, take me out my element

[Verse 2]
I'm allergic to a bitch nigga, ayy
An imaginary rich nigga, ayy
Seven figures ho, that's slimmer than my bitch figure, ayy
Goin' digital and physical on all y'all, ayy
Bunch of criminals and money in my phone calls, ayy
We okay, we let the A1 fly
Relocate, jump on the same G5
Checkin' for me heavy 'cause I go, yeah, I go, yeah
They never been ready, yeah, I know, yeah, know, yeah
100K spread across the floor, 'cross the floor, yeah
None of y'all fuckin' with the flow, yeah, the flow, yeah
Years in the makin', and don't y'all mistake it
I got 'em by a landslide, we talkin' about races
You know this'll never be a tie, just look at they laces
You know careers take off, just gotta be patient
Mr. One through Five, that's the only logic
Fake my death, go to Cuba, that's the only option
See Kendrick Lamar LiveGet tickets as low as $146You might also like[Chorus]
If I gotta slap a pussy-ass nigga, I'ma make it look sexy
If I gotta go hard on a bitch, I'ma make it look sexy
I pull up, hop out, air out, made it look sexy
They won't take me out my element
Nah, take me out my element

[Bridge]
Damned if I do, if I don't (Yuh)
Goddamn us all if you won't (Yuh)
Damn, damn, damn, it's a goddamn shame
You ain't front in line, get out the goddamn way

[Verse 3]
Niggas thought they wasn't gonna see me, huh?
Niggas thought that K-Dot real life
Was the same life they see on TV, huh?
Niggas wanna flex on me and be in L.A. for free, huh?
Next time they hit the 10 freeway, we need a receipt, huh?
'Cause most of y'all ain't real, most of y'all gon' squeal
Most of y'all just envy, but jealousy get you killed
Most of y'all throw rocks and try to hide your hand
Just say his name and I promise that you'll see Candyman
Because it's all in your eyes, most of y'all tell lies
Most of y'all don't fade, most of y'all been advised
Last LP I tried to lift the black artists
But it's a difference 'tween black artists and wack artists
[Chorus: Kendrick Lamar & Kid Capri]
If I gotta slap a pussy-ass nigga, I'ma make it look sexy
It's the one and only, the world's greatest, the Kid Capri
If I gotta go hard on a bitch, I'ma make it look sexy
I pull up, hop out, air out, made it look sexy
They won't take me out my element
Nah, take me out my element287Embed"
Boredom (feat. Rex Orange County & Anna of the North),2017-07-21,"Tyler, The Creator, Rex Orange County, Anna of the North",Flower Boy,71,"hip hop, rap, bedroom pop, pop, electropop, indie poptimism, norwegian pop, vapor pop, vapor soul",320720,True,5WNYg3usc6H8N3MBEp4zVk,"['4V8LLVI7PbaPR0K2TGSxFF', '7pbDxGE6nQSZVfiFdq9lOL', '1mSJCvDX0W7Dn7S9C6vmvI']",0.578,0.324,79.938,0.151,0.79,0.000522,4,0.559,8,-9.54,0.239,1,"TranslationsTürkçeEspañolPortuguêsEnglishBoredom Lyrics[Intro: Rex Orange County & Corinne Bailey Rae]
When you're having fun, fun
(Time flies, time flies, time flies)
When you're having fun (Time flies)
Out the window (It goes, goes, goes)

[Chorus: Rex Orange County & Anna of the North]
Find some time, find some time to do something
Find some time, find some time to do something
Find some time, find some time to do something
Ah
[Bridge: Rex Orange County & Anna of the North]
Boredom got a new best friend
(Boredom, boredom, best friend)
'Cause boredom got a new best friend (Oh, oh, oh)
Boredom got a new best friend
Na-na-na, na-na-na, oh-na-na-na
Oh, oh, oh

[Chorus: Rex Orange County & Anna of the North]
Find some time, find some time to do something
Find some time (Find some time, oh)

[Verse 1: Tyler, The Creator]
Boredom, boredom, boredom, boredom
Boredom, boredom, boredom
Boy, my bedroom floor is a cereal burial, I'm serious
I ate 'em all, dry boxes, bodies, yeah I caught 'em
If we're talkin' 'bout real meals, ask my stomach, he ain't saw 'em
I've been in this fuckin' room so long
My eyeballs are turning to drywall
My friends suck, fuck 'em, I'm over 'em
""Hi y'all, y'all ain't hit me all-day
What the fuck is the problem? Is it me?
'Cause I'm not solved, I'm... bored""

[Chorus: Rex Orange County & Anna of the North]
Find some time, find some time to do something
Find some time, find some time to do something
Find some time, find some time to do something
(Oh)
See Tyler, The Creator LiveGet tickets as low as $30You might also like[Verse 2: Tyler, The Creator]
Bored and getting desperate as hell
(Desperate, using, texting, amusing)
Cellular not amusing and I hope someone will
Message me with some plans that are amusing as well
'Cause I haven’t seen the exit of these walls since before this morning
Morning, morning, morning, morning
(Morning, oh, what the fuck?)
Got some cars I can handle but nowhere for performance
My stomach angry and yellin', I need some food, I could order
But I hate eating solo
Need someone, we can loiter in parking lots
As sunsets at the border, yeah
Ringy dingy dong, I can't be alone
I been starting to feel like I don't know anyone
So now I'm staring at my ceiling fuckin' blowing
Like I have no idea where I'm going
Tick tock
(Damn, gotta get outta here)

[Chorus: Rex Orange County, Anna of the North and Tyler, the Creator]
Find some time, find some time to do something
(Hey, can y'all help me right quick?)
Find some time, find some time to do something
Find some time, find some time to do something (Tick tock)
(Ti-ti-tick tock) (Oh)
[Bridge: Tyler, the Creator & Anna of the North]
'Cause boredom got a new best friend
Tick tock
Boredom got a new best friend
'Cause boredom got a new best friend
Tick tock

[Outro: Rex Orange County]
Find some time, find some time
Gotta find some time, find some time
Gonna find some, find some time
Gotta find some time, find some time
Gonna find some, find some time
Gotta find some time, find some time
Gonna find some, find some time
Time, time, time, time
Time, time, time, time
Time, time, time, time
Time, time, time

[Shane Powers]
""Ride's over, we got some tickets to see s-""85Embed"
White Ferrari,2016-08-20,Frank Ocean,Blonde,77,"hip hop, lgbtq+ hip hop, neo soul",248807,False,2LMkwUfqC6S6s6qDVlEuzV,['2h93pZq0e7k5yf4dywlkpM'],0.0958,0.298,108.741,0.0433,0.77,0.0,4,0.501,0,-15.605,0.204,1,"TranslationsTürkçeEspañolРусскийPortuguêsWhite Ferrari Lyrics[Verse 1]
Bad luck to talk on these rides
Mind on the road, your dilated eyes watch the clouds float
White Ferrari, had a good time
(Sweet sixteen, how was I supposed to know anything?)
I let you out at Central
I didn't care to state the plain
Kept my mouth closed
We're both so familiar
White Ferrari, good times
[Verse 2]
Stick by me, close by me
You were fine, you were fine here
That's just a slow body
You left when I forgot to speak
So I text the speech, lesser speeds, Texas speed, yes
Basic takes its toll on me, 'ventually, 'ventually, yes
Ahh, on me 'ventually, 'ventually, yes

[Verse 3]
I care for you still and I will forever
That was my part of the deal, honest
We got so familiar
Spending each day of the year
White Ferrari, good times
In this life (Life), in this life (Life)
One too many years
Some tattooed eyelids on a facelift
(Thought you might want to know now)
Mind over matter is magic, I do magic
If you think about it, it'll be over in no time
And that's life
(Love)

[Verse 4]
I'm sure we're taller in another dimension
You say we're small and not worth the mention
You’re tired of movin', your body's achin'
We could vacay, there's places to go
Clearly, this isn't all that there is
Can't take what's been given (No way)
But we're so okay here, we're doing fine
Primal and naked
You dream of walls that hold us in prison
It's just a skull, least that's what they call it
And we're free to roamYou might also like188Embed"
Yonkers,2011-05-09,"Tyler, The Creator",Goblin,0,"hip hop, rap",249333,True,1zsAAnB6dMpGOvXjoYP9Um,['4V8LLVI7PbaPR0K2TGSxFF'],0.759,0.217,79.103,0.334,0.016,0.0808,4,0.712,11,-5.397,0.738,1,"TranslationsPortuguêsYonkers Lyrics[Intro]
Uh, Wolf Haley, Golf Wang, go

[Verse 1]
I'm a fuckin' walkin' paradox, no, I'm not
Threesomes with a fuckin' triceratops, Reptar
Rappin' as I'm mockin' deaf rock stars
Wearin' synthetic wigs made of Anwar's dreadlocks
Bedrock, harder than a motherfuckin' Flintstone
Making crack rocks outta pussy nigga fishbones (Haha)
This nigga Jasper tryin' to get grown
About five, seven of his bitches in my bedroom (Hey)
Swallow the cinnamon, I'ma scribble this sin and shit
While Syd is tellin' me that she's been getting intimate with men
(Syd, shut the fuck up)
Here's the number to my therapist (Shit)
You tell him all your problems, he's fuckin' awesome with listenin' (Haha)
[Chorus]
Uh, Wolf Haley, uh, Golf Wang
Uh, Wolf Haley, Golf fuckin' Wang
[Verse 2]
Jesus called, he said he's sick of the disses
I told him to quit bitchin', this isn't a fuckin' hotline
For a fuckin' shrink, sheesh, I already got mine
And he's not fuckin' workin', I think I'm wastin' my damn time
I'm clockin' three past six and goin' postal
This the revenge of the dicks, that's nine cocks that cock 9's
This ain't no V. Tech shit, or Columbine
But after bowling, I went home for some damn Adventure Time
(What'd you do?) I slipped myself some pink Xannies (Yeah)
And danced around the house in all-over print panties
My mom's gone, that fuckin' broad will never understand me
I'm not gay, I just wanna boogie to some Marvin
(What you think of Hayley Williams?)
Fuck her, Wolf Haley robbin' them
I'll crash that fuckin' airplane that that faggot nigga B.o.B is in
And stab Bruno Mars in his goddamn esophagus
And won't stop until the cops come in
I'm an overachiever, so how about I start a team of leaders
And pick up Stevie Wonder to be the wide receiver? (Cool)
Green paper, gold teeth, and pregnant golden retrievers
All I want, fuck money, diamonds, and bitches, don't need 'em
But where the fat ones at? I got somethin' to feed 'em
It's some cooking books, the black kids never wanted to read 'em
Snap back, green ch-ch-chia fuckin' leaves
It's been a couple months
And Tina still ain't perm her fuckin' weave
Damn
See Tyler, The Creator LiveGet tickets as low as $30You might also like[Chorus]
Uh, Wolf Haley, uh, Golf Wang
Uh, Wolf Haley, Golf Wang, yeah
Goddamn goblin
Wolf Haley, uh, Golf Wang
Uh, Wolf Haley, Golf Wang, yeah
[Verse 3]
They say success is the best revenge
So I beat DeShay up with the stack of magazines I'm in
Oh, not again, another critic writing report
I'm stabbin' any bloggin' faggot hipster with a pitchfork
Still suicidal, I am
I'm Wolf, Tyler put this fuckin' knife in my hand
I'm Wolf, Ace gon' put that fuckin' hole in my head
And I'm Wolf, that was me who shoved a cock in your bitch
(What the fuck, man?) Fuck the fame and all the hype, G
I just wanna know if my father would ever like me
But I don't give a fuck, so he's probably just like me
A motherfuckin' goblin
(Fuck everything, man) That's what my conscience said
Then it bunny-hopped off my shoulder, now my conscience dead
Now the only guidance that I had is splattered on cement
Actions speak louder than words, let me try this shit
Dead431Embed"
HDMI,2014-12-02,BONES,Rotten,0,"dark trap, underground hip hop",139374,True,2JUs4EVimq0ShpPeIgeokl,['5v2WhpA59TJSdPh7LCx1lN'],0.298,0.304,124.863,0.0578,0.698,0.772,4,0.708,7,-16.427,0.118,1,"TranslationsРусскийFrançaisHDMI Lyrics[Intro]
SESH

[Verse 1]
Smoking like a motherfucker, higher than a motherfucker
Bitch, please stop the playing
SESHOLLOWATERBOYZ, deaf to them other boys
We can't hear a word you saying
We don't know your name, can't hang with the gang
Crowd jumping when the bass get banging
All I need is dope, so I gotta get paid
Never see me on the stage unless the money is arranged
My hair 1080, my teeth 240, my blunts 4K
And my dope you couldn't load it
If they ain't calling with a price, we don't answer that
Tryna fuck around, bitch, we gon' handle that
[Chorus]
If they ain't calling with a price, we don't answer that
Tryna  fuck around, bitch, we gon' handle that
We gon' handle that bitch, we gon' handle that
Tryna fuck around, bitch, we gon' handle that
If they ain't calling with a price, we don't answer that
Tryna fuck around, bitch, we gon' handle that
We gon' handle that bitch, we gon' handle that
Tryna fuck around, bitch, we gon' handle that

[Verse 2]
Bitch, I'm smoking sacrificial, back to back
Blink, you might miss it
Boy, my team made up of legends
And my ring made out of crystal
They ask me how I been living since these labels out to get me
But the only reason they want to meet me is just to say they fucking met me

[Bridge]
I got money on the table but—
I ain't count it yet
I ain't count it yet
I ain't, I ain't count it yet
Money on the table but—
I ain't count it yet
I ain't count it yet
I ain't, I ain't count it yet
You might also like[Outro]
BONES...102Embed"
Oxygen,2017-06-16,BONES,NoRedeemingQualities,0,"dark trap, underground hip hop",142000,True,3MAfAtD9lKvugbWzaz21LS,['5v2WhpA59TJSdPh7LCx1lN'],0.514,0.115,120.011,0.0449,0.0336,0.000164,4,0.694,1,-11.063,0.136,0,"Oxygen Lyrics[Verse 1]
Droppin' down, hoppin' out straight out the casket
Pop, lock and drop ya like Huey done asked me
Mud on my corpse, if you crazy, I'm batshit
BONES is the one the game hate with a passion
When did it start? I think I know
The second I chose to come out of my tomb
Everyone gather and hold hands
And let out a big ""Fuck you, BONES"" on two
One, two, coming through
Your crew look like To Wong Foo
Give a fuck about your loot
Motherfucker, gimme truth
And if you all out of the latter, I'ma have to take the first
Try to bop me for my spot
Hold up, someone get this boy a hearse
[Verse 2]
I'm taking the long way home tonight
I just need some space, I don't wanna live today
Ran into the crow of the afterlife
He opened up his beak, whispered ""BONES, please come with me""
Deadboy, what big eyes you have
The better to see you with, hands of the witch cursed with one grip
I will rise from the fire
Finna blow away with the breeze
Reporting live from the core
Making it hard to breatheYou might also like46Embed"
Dirt,2013-08-08,BONES,SCUMBAG,0,"dark trap, underground hip hop",140187,True,1LpFxoC3TDeUSjU2qp3Iu1,['5v2WhpA59TJSdPh7LCx1lN'],0.721,0.11,136.07,0.0751,0.354,0.000645,4,0.852,3,-7.4,0.803,0,"TranslationsРусскийDirt Lyrics[Intro]
What?
SESH
What?

[Chorus]
You say you've got them guns but I've never seen you bang (Bang)
You say you've got them drugs but I've never seen you slang (Slang)
You say you in the game but I've yet to see you play (Play)
You say you're going hard but nobody feels the same (No)
You say you got them guns but I've never seen you bang (Bang)
You say you've got them drugs but I've never seen you slang (Slang)
You say you in the game but I've yet to see you play (Play)
You say you're going hard but nobody feels the same
[Verse]
I'm swerving off, my eyes closed
Graveyard's where I call home
Razor blade on my fuckin' bones
Touch me and I'ma cut you off
Raindrops on my white skin
Turn ghost and I'm in my zone (What?)
Hair long, my blunt’s short
Always smoke so we rollin' more
Coming down, coming down
See me but don't hear a sound
Ridin' 'round, ridin' 'round
Cemetery Blunts in the background loud
Now now, burn it all to the ground
To the ground, ground
Bones back in town
I ain't got no fucking chain, I ain't got no diamond ring
Young Justin Timberlake, all these bitches know my name
If you see me out in public then you know I got the blade
If you see me on the stage (What?)
You know I got the blade (SESH)
Hundred pills in my pocket but that shit is not for me (No)
I feed 'em to my girl and watch her drop down to her knees (What?)
Ghosts in my head, I got ash on my jeans
These women tryna scheme 'cause I look like Dawson's Creek (What?)
You might also like[Chorus]
You say you've got them guns but I've never seen you bang (Bang)
You say you've got them drugs but I've never seen you slang (Slang)
You say you in the game but I've yet to see you play (Play)
You say you're going hard but nobody feels the same (No)
You say you got them guns but I've never seen you bang (Bang)
You say you've got them drugs but I've never seen you slang (Slang)
You say you in the game but I've yet to see you play (Play)
You say you're going hard but nobody feels the same, yeah

[Outro]
What? What? What? What?
What? What? What? What?
What? What? What? What?90Embed"
Corduroy,2014-06-08,BONES,Garbage,0,"dark trap, underground hip hop",143333,True,2QJQMsfeQOUeRkktBPFuhy,['5v2WhpA59TJSdPh7LCx1lN'],0.561,0.0976,112.971,0.0641,0.293,0.00168,4,0.881,8,-8.907,0.191,0,"TranslationsFrançaisCorduroy Lyrics[Verse 1]
Realtree Camo with the Carhartt blade
Came from the place where the hatred was made
I'ma make you dark like it's late in the day
No matter what I think, you gonna hate what I say
Earnhardt blunts, smoking like we in a race
Friends turn cold like the blood in my veins
Thoughts in my mind, like the dirt in my graves
So I press my head to the wall, till it breaks

[Chorus]
Take you back home, where the moon don't glow
Where the sun don't shine, where the kids don't grow
Uptown where the youth get drowned
In the rag full of ether 'cause the kids don't know
Suicide rate up high when the winter rolls in and the money still low
And when he feels that snow, he knows it's the only way to get out the cold
[Verse 2]
Get out the cold, get out the cold
Life's too tough, bitch, please let me know
I take your life and turn it to gold
Roll my dope and turn to a ghost
Who you really think going harder than me?
Bitch, I'm dead bitch, bitch, I'm dead
Bitch I don't even breathe!
Said who you really think going harder than me?
Bitch, I'm dead bitch, bitch, I'm dead
Bitch I don't even breathe!

[Verse 3]
SESH
Feelin' something, like Rick Moranis
Blew up the kid, now he doin' damage
You oughta know, like my name’s Alanis
Hate on me, take a seat, young Christopher Hansen
I don't sweat all day, just to lie in a mansion
Break blunts, like glass, when you get the banshee
R2, R2, L1, R2, up, down, left, right
Then I get to bangin'

[Chorus]
Take you back home, where the moon don't glow
Where the sun don't shine, where the kids don't grow
Uptown where the youth get drowned
In the rag full of ether 'cause the kids don't know
Suicide rate up high when the winter rolls in and the money still low
And when he feels that snow, he knows it's the only way to get out the coldYou might also like52Embed"
