title,artists,genres
Buildings,"yung lean, thaiboy digital, bladee, yung lean / thaiboy digital / bladee","glitchcore, psychedelic hip hop, underground hip hop, cloud rap, drain"
NEKOBASU,yung lean,"cloud rap, psychedelic hip hop, underground hip hop"
Motorola,yung lean,"cloud rap, psychedelic hip hop, underground hip hop"
3D SPACESHIP,yung lean,"cloud rap, psychedelic hip hop, underground hip hop"
DOUBLE CHECK,lucki,plugg
Syrup Talk,lucki,plugg
Roses,yung lean,"cloud rap, psychedelic hip hop, underground hip hop"
Vendetta,yung lean,"cloud rap, psychedelic hip hop, underground hip hop"
SWING THE SCYTHE,buckshot,['cloud rap']
EpaR Featuring Vince Staples,"earl sweatshirt, vince staples","conscious hip hop, hip hop, rap, underground hip hop"
Sofaygo Titan prod polack,"polack, sofaygo","plugg, glitchcore"
obsession 4 rick prod me,"tana, bana (fuck the rules)",hyperpop francais
Hydrocodone,"naitourufu, black kray","cloud rap, plugg, pluggnb"
Fuck The Streets,duwap kaine,"dark plugg, pluggnb, vapor trap"
Racin (prod. Gianni),"kankan archive, kankan",pluggnb
Shawty In Love,playboi carti,"atl hip hop, plugg, pluggnb, rap"
stuck,ken carson,
No Time,sofaygo,"glitchcore, plugg"
Fee Prod Loesoe,kankan,pluggnb
Fast,thouxanbanfauni,"atl hip hop, cloud rap, melodic rap, plugg, vapor trap"
FEAR OR LUST <3 [prod. Mayhem Meech],lucki,plugg
24 Songs,"playboi carti, vory","atl hip hop, plugg, pluggnb, rap"
sorry,izaya tiji,"plugg, pluggnb"
Marry This Game (Prod. Highway & Jonny),"highway2009, highway",outlaw country
care ft jssr,soser,
PASSIVE AGGRESSION FT YUNGFAZO PROD SILO,"yen @jaydeschrist, jaydes","pluggnb, sigilkore"
Security,kanye west,"chicago rap, hip hop, rap"
dead prod zeegoinxrazy,slump6s archive,
AR,slime dollaz,"plugg, vapor trap"
yeaaaa remix,tana,['hyperpop francais']
I Know,kanii,
I See (2 Many,"jace! (@iayze), iayze",plugg
six,slump6s,pluggnb
intro,che,
