title,track_id,artists,artist_ids,energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,loudness,valence,mode,genres,lyrics,tokens,sentiment
O Pana!,2I12vOWeJU5ayhr6ha6esf,$uicideboy$,['1VPmR4DJC1PlOtd0IADAO0'],0.505,0.198,114.972,0.115,0.0206,2.05e-05,4,0.8,0,-6.54,0.179,1,"cloud rap, dark trap, new orleans rap, underground hip hop",crush hit blunt hit blunt crush oxycontin lortabs crush hit blunt hit blunt crush oxycontin lortabs crush hit blunt hit blunt crush 1 yung gimisum family jgrxxn wake ache fade pop  pill gatorade crush round neck hang gator fang  reveal later date dont  hit blunt yung kind  flow bring ho backstage crush tell tell   life bounce roxy hittin hard feeling fuckin sick hit blunt smoke half ounce balance ruby backin ruby blackin falling fuckin deeper think ruby cashin crush grass  greener grave lackin crowd look  laughin hit blunt audience crackin curtain crush wallow sorrow aint tomorrow missed  lick woke gown hit blunt 2 lick loth gimisum family jgrxxn bought  roxies  oddy crush chronic laced somethin im hit blunt rolling block aint set crush told  ear need chill hit blunt xanax bar drink pour em crush  fuckboy dont act hit blunt  motherfuckin bat upside skull crush  drug  throw knew shouldnta hit blunt jgrxxn gimisum family oxycontin lortabs crush hit blunt hit blunt cccccrush oxycontin lortabs crush,413,-0.12876984126984128
Runnin' Thru The 7th With My Woadies,70nmZhHZLNVYWP4NON41Zw,"$uicideboy$, Pouya","['1VPmR4DJC1PlOtd0IADAO0', '4nXOZlYoAD67hF9aUEncMY']",0.62,0.139,112.027,0.281,0.067,0.000241,4,0.526,8,-7.244,0.187,0,"cloud rap, dark trap, new orleans rap, underground hip hop, aesthetic rap, cloud rap, dark trap, miami hip hop, underground hip hop",come home ill stop come home ill stop 1 ruby da cherry view balcony pool lit blue lawn chair  ice chest stuffed  gram blunt blew im getting blown dont   gold chain hanging room dont wear wear house cause shine bright dont blind knew yung wouldnt melt summer true cold polar bear chilling stunna lick im surrounded tulip bout  clip bout  script filled oxy smoke hovers  body murdered named oddy shot lick shovel digging night pouya caddy told shine light bright cause im digging darkness good day turned usual  black funeral marie therese come home ill stop come home ill stop 2 yung carecrow runnin cop motherfucking 7th  body dropped  went heaven block stay hot im creeping weapon  pill depression city crescent riding smith wesson motherfucker guessing hit em blessing  shot dome  shot chrome shot home thats crime zone uicide carecrow creepin uzi lucifer  come save throw crucifix foot walking depth hell watchin ocean swell grey59 thats los cartel  death  cell marie therese come home ill stop come home ill stop 3 pouya yuh deep flask drinking thinking going lead bad decision dj vu ive multiple time  occasion contemplating vacating  doubt   wrong  sprung  dumb  dumbfounded wellrounded plus head game therapeutic knew blew nintendo heard yall better curve dick game army strong hope song  long life aint promised  accomplished think inside apartment working  worthless yuh   marie therese come home ill stop come home ill stop come home,529,-0.13799019607843133
ELEMENT.,1EaKU4dMbesXXd3BrLCtYG,Kendrick Lamar,['2YZyLoL8N0Wb9xBt1NhZWg'],0.705,0.246,189.891,0.485,0.204,0.0,4,0.748,4,-4.547,0.483,0,"conscious hip hop, hip hop, rap, west coast rap",kenny aint  prayin yall  happens earth stay earth  dont  dont  dont  dont  dont  1 im willin die  cried   life  bible  dot enemy wont catch vibe stomped  mama daddy commissary  comma grandma dead aint  prayin im head thirty million later  fed watchin auntie telegram cautious hangin tam stockton dont gram compton im willin die  ill  fuckin life  aint goin  broke family sellin dope thats maneyass rap  better  slap pussyass  ima  look sexy  hard ima  look sexy pull hop air  look sexy wont  element nah  element 2 im allergic  imaginary rich  seven figure ho thats slimmer figure goin digital physical yall bunch criminal money phone  okay a1 fly relocate jump g5 checkin heavy cause    ready   100k spread  floor cross floor  yall fuckin flow flow year makin dont yall mistake em landslide talkin race  thisll  tie look lace  career  patient mr   thats logic fake death  cuba thats option  kendrick lamar liveget ticket low 146you   slap pussyass  ima  look sexy  hard ima  look sexy pull hop air  look sexy wont  element nah  element damned dont yuh goddamn  wont yuh damn damn damn goddamn shame aint  line  goddamn way 3  thought wasnt going  huh  thought kdot real life life  tv huh  flex la free huh  time hit 10 freeway need receipt huh cause yall aint real yall squeal yall envy jealousy  killed yall throw rock try hide hand   promise youll  candyman  yall tell lie yall dont fade yall advised  lp tried lift black artist difference tween black artist wack artist kendrick lamar kid capri slap pussyass  ima  look sexy  world greatest kid capri  hard ima  look sexy pull hop air  look sexy wont ,776,0.16078431372549018
Boredom (feat. Rex Orange County & Anna of the North),5WNYg3usc6H8N3MBEp4zVk,"Tyler, The Creator, Rex Orange County, Anna of the North","['4V8LLVI7PbaPR0K2TGSxFF', '7pbDxGE6nQSZVfiFdq9lOL', '1mSJCvDX0W7Dn7S9C6vmvI']",0.578,0.324,79.938,0.151,0.79,0.000522,4,0.559,8,-9.54,0.239,1,"hip hop, rap, bedroom pop, vapor pop",youre fun fun time fly time fly time fly youre fun time fly window    rex orange county anna north  time  time   time  time   time  time  ah rex orange county anna north boredom new best friend boredom boredom best friend cause boredom new best friend boredom new best friend nanana nanana ohnanana rex orange county anna north  time  time   time  time 1 tyler creator boredom boredom boredom boredom boredom boredom boredom boy bedroom floor cereal burial im  ate em dry box body caught em talkin bout real meal ask stomach aint saw em ive fuckin room long eyeball turning drywall friend suck em im em hi yall yall aint hit allday problem cause im solved im bored rex orange county anna north  time  time   time  time   time  time   tyler creator liveget ticket low 30you   2 tyler creator bored getting desperate hell desperate  texting amusing cellular amusing hope  message plan amusing  cause havent seen exit wall  morning morning morning morning morning morning car handle  performance stomach angry yellin need food  order hate eating need  loiter parking lot sunset border ringy dingy dong   starting feel dont   im staring ceiling fuckin blowing idea im going tick tock damn  outta rex orange county anna north tyler creator  time  time  yall help right quick  time  time   time  time  tick tock tititick tock tyler creator anna north cause boredom new best friend tick tock boredom new best friend cause boredom new best friend tick tock rex orange county  time  time  time  time going   time  time  time going   time  time  time going   time time time time time time time time time time time time time time time time shane,600,0.30334896584896587
White Ferrari,2LMkwUfqC6S6s6qDVlEuzV,Frank Ocean,['2h93pZq0e7k5yf4dywlkpM'],0.0958,0.298,108.741,0.0433,0.77,0.0,4,0.501,0,-15.605,0.204,1,"lgbtq+ hip hop, neo soul",ride mind road dilated  watch cloud float white ferrari good time sweet sixteen supposed   central didnt care state plain kept mouth closed familiar white ferrari good time 2 stick close fine fine thats slow body left forgot speak text speech lesser speed texas speed yes basic  toll ventually ventually yes ahh ventually ventually yes 3 care  forever  deal honest familiar spending day year white ferrari good time life life life life   year tattooed eyelid facelift thought   mind matter magic magic think itll time thats life love 4 im sure taller  dimension  small worth mention youre tired movin body achin  vacay  place  clearly isnt   whats given way okay fine primal naked dream wall hold  prison skull  thats,280,0.2228571428571428
Yonkers,1zsAAnB6dMpGOvXjoYP9Um,"Tyler, The Creator",['4V8LLVI7PbaPR0K2TGSxFF'],0.759,0.217,79.103,0.334,0.016,0.0808,4,0.712,11,-5.397,0.738,1,"hip hop, rap",im fuckin walkin paradox im threesome fuckin triceratops reptar rappin im mockin deaf rock star wearin synthetic wig  anwars dreadlock bedrock harder motherfuckin flintstone making crack rock outta pussy  fishbone haha  jasper tryin  grown  seven  bedroom swallow cinnamon ima scribble sin syd tellin shes getting intimate men syd shut  number therapist tell problem  fuckin awesome listenin haha wolf haley golf wang wolf haley golf fuckin wang 2 jesus called said  sick dis told quit bitchin isnt fuckin hotline fuckin shrink sheesh    fuckin workin think im wastin damn time im clockin  past  goin postal revenge dick thats  cock cock 9 aint v tech columbine bowling went home damn adventure time whatd slipped pink xannies danced  house allover print panty mom gone fuckin broad  understand im gay boogie marvin think hayley williams wolf haley robbin ill crash fuckin airplane faggot  bob stab bruno mar goddamn esophagus wont stop cop come im overachiever start team leader pick stevie wonder wide receiver cool green paper gold teeth pregnant golden retriever money diamond  dont need em fat  somethin feed em cooking book black kid  wanted read em snap  green chchchia fuckin leaf couple month tina  aint perm fuckin weave damn  tyler creator liveget ticket low 30you   wolf haley golf wang wolf haley golf wang goddamn goblin wolf haley golf wang wolf haley golf wang 3  success best revenge beat deshay stack magazine im  critic writing report im stabbin bloggin faggot hipster pitchfork  suicidal im wolf tyler  fuckin knife hand im wolf ace  fuckin hole head im wolf shoved cock man fame hype g  father   dont   probably motherfuckin goblin  man thats conscience said bunnyhopped shoulder conscience dead guidance splattered cement action,661,0.08398033126293997
HDMI,2JUs4EVimq0ShpPeIgeokl,BONES,['5v2WhpA59TJSdPh7LCx1lN'],0.298,0.304,124.863,0.0578,0.698,0.772,4,0.708,7,-16.427,0.118,1,"cloud rap, dark trap",motherfucker  stop playing seshollowaterboyz deaf boy  hear word saying dont    hang gang crowd jumping bass  banging need dope  paid   stage  money arranged hair 1080 teeth 240 blunts 4k dope  load aint calling price dont answer tryna  handle aint calling price dont answer tryna  handle handle handle tryna  handle aint calling price dont answer tryna  handle handle handle tryna  handle 2 im smoking sacrificial   blink  miss boy team  legend ring  crystal ask living  label  reason meet  met money table aint count  aint count  aint aint count  money table aint count  aint count  aint,299,-0.15000000000000002
Oxygen,3MAfAtD9lKvugbWzaz21LS,BONES,['5v2WhpA59TJSdPh7LCx1lN'],0.514,0.115,120.011,0.0449,0.0336,0.000164,4,0.694,1,-11.063,0.136,0,"cloud rap, dark trap",casket pop lock drop ya huey  asked mud corpse crazy im batshit bone  game hate passion start think  second chose come tomb  gather hold hand big bone    coming crew look wong foo  loot motherfucker  truth  ima   try bop spot hold   boy hearse 2 im taking long way home tonight need space dont live today ran crow afterlife opened beak whispered bone  come deadboy big  better  hand witch cursed  grip rise  fixing blow away breeze reporting live,198,-0.10772727272727275
Dirt,1LpFxoC3TDeUSjU2qp3Iu1,BONES,['5v2WhpA59TJSdPh7LCx1lN'],0.721,0.11,136.07,0.0751,0.354,0.000645,4,0.852,3,-7.4,0.803,0,"cloud rap, dark trap",gun ive  seen bang bang  youve drug ive  seen slang slang  game ive   play play  youre going hard  feel  gun ive  seen bang bang  youve drug ive  seen slang slang  game ive   play play  youre going hard  feel im swerving  closed graveyard  home razor blade fuckin bone touch ima cut raindrop white skin turn ghost im zone hair long blunts short  smoke rollin coming coming  dont hear sound ridin round ridin round cemetery blunts background loud burn ground ground ground bone  town aint chain aint diamond ring young justin timberlake     public  blade  stage  blade sesh  pill pocket feed em girl watch drop knee ghost head ash jean woman tryna scheme cause look dawson creek    youve gun ive  seen bang bang  youve drug ive  seen slang slang  game ive   play play  youre going hard  feel  gun ive  seen bang bang  youve drug ive  seen slang slang  game ive   play play  youre going hard  feel,416,-0.1509259259259259
Corduroy,2QJQMsfeQOUeRkktBPFuhy,BONES,['5v2WhpA59TJSdPh7LCx1lN'],0.561,0.0976,112.971,0.0641,0.293,0.00168,4,0.881,8,-8.907,0.191,0,"cloud rap, dark trap",place hatred  ima  dark late day matter think going hate  earnhardt blunts smoking race friend turn cold blood vein thought mind dirt graf press head wall till break   home moon dont glow sun dont shine kid dont grow uptown youth  drowned rag  ether cause kid dont  suicide rate high winter roll money  low feel snow  way  cold 2  cold  cold life tough    life turn gold roll dope turn ghost  think going harder im dead im dead dont  breathe said  think going harder im dead im dead dont  breathe 3 sesh feelin  rick moranis blew kid doin damage oughta   alanis hate  seat young christopher hansen dont sweat day lie mansion break blunts glass  banshee r2 r2 l1 r2 left right  bangin   home moon dont glow sun dont shine kid dont grow uptown youth  drowned rag  ether cause kid dont  suicide rate high winter roll money  low feel snow ,360,-0.22221560846560848
